City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Salalah,0,OM,1618515572,78,17.0151,54.0924,80.6,5.75
Gaurnadi,100,BD,1618515707,71,22.9667,90.2333,79.99,6.24
Littlehampton,20,GB,1618515450,61,50.8069,-0.5378,45.0,11.5
Buala,10,SB,1618515707,81,-8.145,159.5921,79.56,2.13
Longonjo,100,AO,1618515708,85,-12.9067,15.2533,64.62,1.39
Port-Gentil,20,GA,1618515544,83,-0.7193,8.7815,82.4,6.91
Qaanaaq,9,GL,1618515708,75,77.484,-69.3632,1.53,3.22
Klaksvík,90,FO,1618515708,100,62.2266,-6.589,44.6,16.11
Ushuaia,20,AR,1618515709,32,-54.8,-68.3,53.6,5.75
Vestmannaeyjar,100,IS,1618515709,95,63.4427,-20.2734,46.78,31.88
Bluff,78,NZ,1618515710,95,-46.6,168.3333,50.0,1.01
Golspie,38,GB,1618515710,84,57.9727,-3.978,42.01,3.0
Sungai Penuh,100,ID,1618515710,96,-2.0833,101.3833,63.23,2.42
Muroto-misakicho,97,JP,1618515711,84,33.2833,134.15,61.92,21.83
Khatanga,100,RU,1618515554,94,71.9667,102.5,9.68,12.64
Lorengau,100,PG,1618515711,78,-2.0226,147.2712,80.56,6.64
Port Elizabeth,90,ZA,1618515528,88,-33.918,25.5701,62.6,8.05
Airai,84,TL,1618515711,78,-8.9266,125.4092,56.32,2.28
Busselton,56,AU,1618515712,94,-33.65,115.3333,55.99,8.68
Albany,100,US,1618515459,78,42.6001,-73.9662,52.0,7.43
Hilo,90,US,1618515712,68,19.7297,-155.09,73.99,4.61
Port Alfred,98,ZA,1618515713,55,-33.5906,26.891,67.66,23.98
Kapaa,40,US,1618515713,65,22.0752,-159.319,77.0,9.22
Karratha,0,AU,1618515713,46,-20.7377,116.8463,79.81,14.47
Khovd,3,MN,1618515714,42,48.0056,91.6419,37.13,2.28
Sibolga,78,ID,1618515598,88,1.7427,98.7792,75.99,3.24
Rikitea,74,PF,1618515617,74,-23.1203,-134.9692,77.94,7.94
Paamiut,99,GL,1618515561,71,61.994,-49.6678,22.59,38.45
At-Bashi,100,KG,1618515714,68,41.1702,75.8106,44.94,3.2
Tocopilla,20,CL,1618515715,69,-22.092,-70.1979,69.17,6.49
Ribeira Grande,75,PT,1618515715,82,38.5167,-28.7,64.4,6.91
Big Spring,90,US,1618515544,93,32.2504,-101.4787,52.0,9.22
Kaitangata,28,NZ,1618515557,90,-46.2817,169.8464,52.0,1.99
Naze,100,JP,1618515716,80,28.3667,129.4833,64.18,7.49
Tasiilaq,90,GL,1618515716,86,65.6145,-37.6368,30.2,19.57
Yokadouma,60,CM,1618515716,63,3.5167,15.05,76.55,1.16
Kasongo-Lunda,100,CD,1618515717,95,-6.4667,16.8167,71.56,1.32
Maricá,20,BR,1618515655,65,-22.9194,-42.8186,78.8,13.8
Butaritari,100,KI,1618515461,74,3.0707,172.7902,82.22,9.22
Saint-Augustin,98,CA,1618515717,81,51.226,-58.6502,37.08,15.1
East London,100,ZA,1618515718,75,-33.0153,27.9116,67.17,24.61
Castro,83,BR,1618515616,69,-24.7911,-50.0119,67.93,6.22
Vila do Maio,75,CV,1618515718,68,15.1333,-23.2167,73.4,23.02
Codrington,100,AU,1618515718,56,-38.2667,141.9667,54.59,9.46
Torbat-e Jām,100,IR,1618515622,49,35.244,60.6225,60.24,13.06
Mataura,74,NZ,1618515719,95,-46.1927,168.8643,50.0,1.01
Hobart,40,AU,1618515645,65,-42.8794,147.3294,44.6,5.75
Atuona,35,PF,1618515719,66,-9.8,-139.0333,81.16,19.15
Nyurba,63,RU,1618515720,96,63.2842,118.3319,10.15,5.39
Esperance,13,AU,1618515720,93,-33.8667,121.9,51.8,5.75
Mahébourg,75,MU,1618515720,94,-20.4081,57.7,77.0,8.05
Itoman,75,JP,1618515721,88,26.1247,127.6694,68.0,10.36
Lompoc,2,US,1618515626,72,34.6391,-120.4579,62.01,14.97
Tiksi,94,RU,1618515721,100,71.6872,128.8694,-5.21,2.48
Norman Wells,75,CA,1618515721,60,65.282,-126.8329,41.0,3.44
Bredasdorp,11,ZA,1618515528,72,-34.5322,20.0403,62.6,10.36
Leningradskiy,100,RU,1618515722,89,69.3833,178.4167,21.31,8.7
Asău,16,RO,1618515723,46,46.4333,26.4,39.99,2.68
Kavieng,100,PG,1618515587,81,-2.5744,150.7967,80.06,7.0
Novo Aripuanã,100,BR,1618515723,72,-5.1206,-60.3797,84.43,3.8
Sivaki,100,RU,1618515723,53,52.6333,126.75,29.5,4.83
Eidsvåg,0,NO,1618515724,81,62.7767,8.0668,42.8,3.6
Punta Arenas,75,CL,1618515724,62,-53.15,-70.9167,53.6,14.97
Thompson,75,CA,1618515451,26,55.7435,-97.8558,42.8,3.44
Jinchang,0,CN,1618515725,20,38.4953,102.1739,43.43,5.19
Barra Patuca,100,HN,1618515725,64,15.8,-84.2833,84.06,11.48
Provideniya,75,RU,1618515725,79,64.3833,-173.3,14.0,6.71
Vozrozhdeniye,45,RU,1618515726,91,44.5503,38.2136,47.32,0.92
Moose Factory,90,CA,1618515530,86,51.2585,-80.6094,33.8,11.5
Avarua,75,CK,1618515726,78,-21.2078,-159.775,80.6,6.91
Yar-Sale,52,RU,1618515726,88,66.8333,70.8333,-0.45,15.14
Monrovia,20,LR,1618515727,83,6.3005,-10.7969,82.4,5.75
New Norfolk,45,AU,1618515727,85,-42.7826,147.0587,44.01,3.38
Maţāy,8,EG,1618515728,19,28.419,30.7792,75.11,9.86
Vaini,20,TO,1618515525,88,-21.2,-175.2,75.2,5.75
Ati,0,TD,1618515728,6,13.2154,18.3353,85.01,11.01
Praia,75,CV,1618515729,68,14.9215,-23.5087,73.4,23.02
Aban,99,RU,1618515729,91,56.67,96.06,35.91,14.23
Sørland,40,NO,1618515586,87,67.667,12.6934,41.0,3.44
Hermanus,11,ZA,1618515729,76,-34.4187,19.2345,66.0,5.99
Nikolskoye,0,RU,1618515559,33,59.7035,30.7861,42.8,8.95
Hope,100,US,1618515730,41,33.6671,-93.5916,68.0,4.0
Chui,100,UY,1618515730,87,-33.6971,-53.4616,69.03,4.56
Ambon City,100,ID,1618515731,92,-3.6954,128.1814,79.0,6.85
Faanui,21,PF,1618515731,74,-16.4833,-151.75,82.2,14.16
Fortuna,20,US,1618515492,72,40.5982,-124.1573,63.0,9.22
Upernavik,100,GL,1618515731,87,72.7868,-56.1549,-3.75,1.95
Kloulklubed,90,PW,1618515732,94,7.0419,134.2556,75.2,39.12
Merauke,47,ID,1618515714,86,-8.4667,140.3333,77.04,10.47
Kaka,90,TM,1618515732,45,37.3482,59.6143,64.31,2.1
Comodoro Rivadavia,0,AR,1618515724,30,-45.8667,-67.5,69.8,12.66
Hithadhoo,57,MV,1618515624,69,-0.6,73.0833,82.36,4.7
Amga,92,RU,1618515733,99,60.8953,131.9608,7.77,2.98
Buin,0,CL,1618515733,31,-33.7333,-70.75,78.8,5.75
Laguna,1,US,1618515733,39,38.421,-121.4238,71.01,5.75
Cape Town,0,ZA,1618515534,72,-33.9258,18.4232,66.2,18.41
Guerrero Negro,94,MX,1618515548,50,27.9769,-114.0611,65.79,17.65
Hofn,100,IS,1618515734,97,64.2539,-15.2082,45.05,26.33
Cherskiy,100,RU,1618515734,94,68.75,161.3,16.3,6.13
Berlevåg,75,NO,1618515644,93,70.8578,29.0864,30.2,9.22
Khani,75,GE,1618515735,67,41.9563,42.9566,57.2,9.22
Batagay-Alyta,68,RU,1618515684,94,67.8006,130.4114,-12.5,6.04
Rocha,35,UY,1618515735,82,-34.4833,-54.3333,70.43,8.05
Hong Kong,100,HK,1618515736,94,22.2855,114.1577,73.0,1.99
Puerto Escondido,40,MX,1618515736,74,15.85,-97.0667,87.8,8.05
Buenos Aires,20,AR,1618515503,69,-34.6132,-58.3772,75.99,5.75
Souillac,75,MU,1618515728,94,-20.5167,57.5167,77.0,8.05
Dikson,100,RU,1618515737,95,73.5069,80.5464,-10.16,17.87
Mar del Plata,40,AR,1618515737,57,-38.0023,-57.5575,75.2,8.05
Jamestown,90,US,1618515439,60,42.097,-79.2353,44.01,17.27
Saint Anthony,75,US,1618515738,57,45.0205,-93.218,50.0,10.36
George Town,20,MY,1618515724,89,5.4112,100.3354,80.6,4.61
Maralal,84,KE,1618515738,71,1.0968,36.698,63.41,9.06
Saryg-Sep,21,RU,1618515738,69,51.5,95.6,30.0,3.91
Vadsø,75,NO,1618515739,93,70.0744,29.7487,32.0,5.75
Barrow,1,US,1618515637,79,71.2906,-156.7887,10.4,6.91
San Quintín,100,MX,1618515739,58,30.4833,-115.95,61.95,18.25
Yellowknife,20,CA,1618515461,48,62.456,-114.3525,41.0,14.97
Padang,100,ID,1618515740,83,-0.9492,100.3543,76.64,2.28
Ponta do Sol,40,PT,1618515635,72,32.6667,-17.1,64.4,11.5
Puri,75,IN,1618515740,57,19.8,85.85,80.6,11.5
Balyqshy,40,KZ,1618515741,72,47.0667,51.8667,59.0,15.66
Tūkrah,82,LY,1618515741,74,32.5341,20.5791,58.93,19.37
Lata,42,PT,1618515741,85,40.1629,-8.3327,63.0,8.01
Havre-St-Pierre,1,CA,1618515741,75,50.2334,-63.5986,39.2,14.97
Ostrovnoy,97,RU,1618515695,92,68.0531,39.5131,24.39,4.68
Mitchell,90,US,1618515742,61,43.7094,-98.0298,42.8,5.75
Ningxiang,0,CN,1618515742,27,37.34,111.2052,39.15,4.56
Arraial do Cabo,20,BR,1618515743,65,-22.9661,-42.0278,80.6,11.5
Psebay,27,RU,1618515743,89,44.1234,40.8107,45.01,4.43
Hammerfest,75,NO,1618515445,93,70.6634,23.6821,35.6,11.5
Dukat,100,RU,1618515744,95,62.55,155.55,12.9,4.45
Lebu,56,CL,1618515623,76,-37.6167,-73.65,59.02,11.99
Tuatapere,100,NZ,1618515744,95,-46.1333,167.6833,50.0,1.01
San Ignacio,40,BZ,1618515745,44,17.1561,-89.0714,96.8,6.91
Okhotsk,41,RU,1618515745,86,59.3833,143.3,7.36,3.27
Painesville,90,US,1618515448,81,41.7245,-81.2457,44.01,14.97
Flinders,43,AU,1618515745,54,-34.5833,150.8552,60.01,10.36
