City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temp,Wind Speed
Hilo,1,US,1618715756,54,19.7297,-155.09,80.6,8.05
Kaitangata,56,NZ,1618716410,68,-46.2817,169.8464,59.0,3.0
Kungurtug,70,RU,1618716468,43,50.5994,97.5228,40.19,0.87
Bathsheba,40,BB,1618716468,61,13.2167,-59.5167,80.6,19.57
Mataura,50,NZ,1618716469,76,-46.1927,168.8643,57.99,15.99
Burgos,20,ES,1618716469,93,42.3394,-3.7079,30.2,3.44
Tomatlán,0,MX,1618716469,79,19.9333,-105.25,66.9,2.68
Tiksi,100,RU,1618716427,80,71.6872,128.8694,9.84,7.09
New Norfolk,100,AU,1618716470,73,-42.7826,147.0587,63.0,4.0
Tazovsky,99,RU,1618716470,93,67.4667,78.7,0.73,8.55
Maningrida,98,AU,1618716471,48,-12.0667,134.2667,88.2,13.27
Arlit,90,NE,1618716471,7,18.7369,7.3853,82.62,6.96
Havre-St-Pierre,1,CA,1618716471,93,50.2334,-63.5986,26.6,9.22
Arkhara,5,RU,1618716472,49,49.4212,130.0842,51.48,4.76
Novomykolayivka,0,UA,1618716472,87,47.9781,35.9102,39.2,2.24
Norfolk,53,US,1618716372,87,42.1668,-71.2495,44.01,5.75
Qaanaaq,100,GL,1618716473,95,77.484,-69.3632,-1.75,6.62
Lebedinyy,100,RU,1618716473,89,58.5167,125.5167,22.51,6.67
Pevek,7,RU,1618716473,81,69.7008,170.3133,27.01,18.45
Brawley,1,US,1618716421,19,32.9787,-115.5303,84.0,3.44
Wewak,100,PG,1618716474,86,-3.5534,143.6268,78.33,6.6
Cabo San Lucas,0,MX,1618716311,78,22.8909,-109.9124,73.0,11.99
Chapleau,97,CA,1618716474,88,47.8405,-83.4034,33.57,1.88
Constitución,100,CL,1618716474,89,-35.3333,-72.4167,55.29,3.4
Ushuaia,40,AR,1618716342,58,-54.8,-68.3,51.8,8.05
Torbay,90,CA,1618716475,100,47.6666,-52.7314,35.01,16.11
Albany,93,US,1618716154,75,42.6001,-73.9662,44.01,2.82
Busselton,0,AU,1618716133,50,-33.65,115.3333,73.99,1.99
Cape Town,0,ZA,1618716476,76,-33.9258,18.4232,75.0,1.14
Ribeira Grande,44,PT,1618716476,90,38.5167,-28.7,61.9,13.2
Yellowknife,75,CA,1618716434,69,62.456,-114.3525,33.8,12.66
Sitka,40,US,1618716477,66,57.0531,-135.33,51.8,4.43
Atuona,40,PF,1618716477,73,-9.8,-139.0333,80.74,18.7
Mishan,61,CN,1618716477,47,45.55,131.8833,52.65,13.98
Rikitea,43,PF,1618716419,68,-23.1203,-134.9692,77.34,3.65
Avarua,90,CK,1618716478,74,-21.2078,-159.775,82.4,5.75
Chokurdakh,77,RU,1618716422,89,70.6333,147.9167,20.03,7.65
Bariloche,75,AR,1618716424,58,-41.1456,-71.3082,51.8,6.91
Grand Gaube,54,MU,1618716478,83,-20.0064,57.6608,77.0,3.0
Provideniya,74,RU,1618716479,88,64.3833,-173.3,32.5,5.41
Adrar,0,MR,1618716417,24,20.5022,-10.0711,70.12,9.6
Yarim,7,YE,1618716479,48,14.298,44.3779,54.75,3.58
Beloha,70,MG,1618716479,57,-25.1667,45.05,63.43,8.3
Nikolskoye,0,RU,1618716343,52,59.7035,30.7861,41.0,2.24
Tasiilaq,75,GL,1618716480,80,65.6145,-37.6368,23.0,2.71
Opuwo,99,NA,1618716480,52,-18.0607,13.84,70.68,6.71
Wajir,62,KE,1618716480,81,1.7471,40.0573,77.07,9.51
Tautira,20,PF,1618716481,70,-17.7333,-149.15,84.2,9.22
Aban,100,RU,1618716481,72,56.67,96.06,26.17,9.69
Punta Arenas,75,CL,1618716481,81,-53.15,-70.9167,46.4,4.61
Saint-Philippe,90,RE,1618716482,94,-21.3585,55.7679,73.4,8.05
Saint George,20,US,1618716467,19,37.1041,-113.5841,62.6,13.8
Puerto Peñasco,0,MX,1618716482,65,31.3167,-113.5333,72.0,5.01
Sobolevo,51,RU,1618716483,84,54.4299,31.8996,42.96,12.95
Marawi,100,PH,1618716483,74,7.9986,124.2928,82.99,8.01
Chui,45,UY,1618716418,90,-33.6971,-53.4616,63.54,5.06
São Filipe,0,CV,1618716483,71,14.8961,-24.4956,71.94,10.96
Port Lincoln,23,AU,1618716484,47,-34.7333,135.8667,66.33,5.7
Caravelas,35,BR,1618716416,84,-17.7125,-39.2481,73.45,5.3
Bluff,83,NZ,1618716344,76,-46.6,168.3333,57.99,15.99
Pisco,0,PE,1618716484,88,-13.7,-76.2167,66.99,11.5
Ilulissat,90,GL,1618716485,61,69.2167,-51.1,6.8,20.71
Hithadhoo,69,MV,1618716485,63,-0.6,73.0833,82.02,4.12
Sterling,1,US,1618716486,71,39.0062,-77.4286,51.01,2.55
Arraial do Cabo,0,BR,1618716486,83,-22.9661,-42.0278,75.2,11.5
Havelock,1,US,1618716486,88,34.8791,-76.9013,55.99,3.42
East London,0,ZA,1618716487,72,-33.0153,27.9116,57.2,6.91
Teterow,20,DE,1618716487,93,53.7833,12.5667,39.99,3.44
Bredasdorp,0,ZA,1618716433,93,-34.5322,20.0403,48.2,8.05
Campagna,100,IT,1618716487,56,40.6653,15.1059,50.0,1.88
Lebu,100,CL,1618716488,90,-37.6167,-73.65,54.77,6.26
Biltine,78,TD,1618716488,9,14.5333,20.9167,81.3,15.05
Hermanus,0,ZA,1618716345,18,-34.4187,19.2345,75.0,1.01
Bethel,90,US,1618716489,66,41.3712,-73.414,46.4,3.69
Rincon,40,US,1618716489,82,32.296,-81.2354,68.0,6.91
Butaritari,99,KI,1618716417,75,3.0707,172.7902,82.6,9.46
Kita,60,ML,1618716489,49,13.0349,-9.4895,81.21,2.53
Tuktoyaktuk,75,CA,1618716490,80,69.4541,-133.0374,24.8,8.05
